OBJECTID,Shape,id_paradero,id_parada,id_ruta,nro_parada,direccion,tipo_parada,recorrido,codigo_ruta,nombre_ruta,sistema_ruta,tipo_ruta,empresa,longitud,latitud,x_origen_nacional,y_origen_nacional
37,"(4715559.160700001, 2247628.9502000026)",53032,90001020,90001,20.0,"CL 34 x CR 45, Medellin",Reglamentaria,Destino-Origen,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.57148629,6.23481489,4715559.1607,2247628.9502
38,"(4714931.004, 2248945.1307999995)",52628,90001011,90001,11.0,"CL 44 58-25, Medellin",Reglamentaria,Origen-Destino,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.57721943,6.24668628,4714931.004,2248945.1308
39,"(4714950.654400002, 2244688.149599999)",52648,90001031,90001,31.0,"CR 48 x CL 5, Medellin",Reglamentaria,Destino-Origen,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.57685414,6.20820126,4714950.6544,2244688.1496
40,"(4712171.337700001, 2247603.161600001)",51377,90001050,90001,50.0,"CR 80A 32-124, Medellin",Reglamentaria,Destino-Origen,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.60209143,6.23443147,4712171.3377,2247603.1616
41,"(4713892.1891, 2249186.3144000005)",52133,90001009,90001,9.0,"CL 44 x CR 68, Medellin",Reglamentaria,Origen-Destino,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.58661525,6.24882064,4713892.1891,2249186.3144
42,"(4712908.7243, 2249306.4824)",51732,90001005,90001,5.0,"CL 44 76-19, Medellin",Reglamentaria,Origen-Destino,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.59550564,6.24986323,4712908.7243,2249306.4824
43,"(4715414.116200001, 2249988.872199999)",52924,90001015,90001,15.0,"CR 56C x CL 55, Medellin",Reglamentaria,Origen-Destino,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.5729009,6.25614378,4715414.1162,2249988.8722
44,"(4715081.4389, 2245948.614)",52710,90001027,90001,27.0,"CR 48 18-, Medellin",Reglamentaria,Destino-Origen,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.5757281,6.21960245,4715081.4389,2245948.614
45,"(4715186.924700001, 2246939.4142000023)",52783,90001024,90001,24.0,"CR 48 x CL 24, Medellin",Reglamentaria,Destino-Origen,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.57481878,6.2285646,4715186.9247,2246939.4142
46,"(4712727.662600001, 2249322.3293000013)",51655,90001004,90001,4.0,"CL 44 78-21, Medellin",Reglamentaria,Origen-Destino,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.59714213,6.24999841,4712727.6626,2249322.3293
47,"(4712477.218300001, 2249316.014200004)",51542,90001003,90001,3.0,"CL 44 x CR 79AA, Medellin",Reglamentaria,Origen-Destino,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.59940446,6.24993013,4712477.2183,2249316.0142
48,"(4712091.050699999, 2248185.054399999)",51315,90001051,90001,51.0,"CL 33AA 80C-47, Medellin",Reglamentaria,Destino-Origen,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.60284271,6.23968847,4712091.0507,2248185.0544
49,"(4713680.147, 2249212.536200002)",52036,90001008,90001,8.0,"CL 44 69-89, Medellin",Reglamentaria,Origen-Destino,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.5885321,6.24904827,4713680.147,2249212.5362
50,"(4714900.259600001, 2244199.225300001)",52622,90001032,90001,32.0,"CR 48 x CL 2, Medellin",Reglamentaria,Destino-Origen,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.5772879,6.20377884,4714900.2596,2244199.2253
51,"(4715157.6161, 2246691.7151999995)",52765,90001025,90001,25.0,"CR 48 x CL 24, Medellin",Reglamentaria,Destino-Origen,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.57507264,6.22632394,4715157.6161,2246691.7152
52,"(4714870.5402, 2243920.1969000027)",52609,90001033,90001,33.0,"CR 48 7 Sur-50, Medellin",Reglamentaria,Destino-Origen,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.57754412,6.20125494,4714870.5402,2243920.1969
53,"(4715128.7354, 2249023.587000001)",52732,90002010,90002,10.0,"CR 57 44A-25, Medellin",Reglamentaria,Origen-Destino,286,Circular 286,Circular 286,Circular,Combuses,-75.5754365,6.24740433,4715128.7354,2249023.587
54,"(4716088.2213, 2248660.8807000015)",53349,90002013,90002,13.0,"CR 45 44-110, Medellin",Reglamentaria,Origen-Destino,286,Circular 286,Circular 286,Circular,Combuses,-75.56675201,6.24416759,4716088.2213,2248660.8807
55,"(4715857.1773, 2249982.4581000004)",53224,90002018,90002,18.0,"CR 53 56-54, Medellin",Reglamentaria,Destino-Origen,286,Circular 286,Circular 286,Circular,Combuses,-75.56889769,6.2561054,4715857.1773,2249982.4581
56,"(4715242.053600001, 2249873.8485000003)",52821,90002008,90002,8.0,"CR 57 x CL 51  , Medellin",Reglamentaria,Origen-Destino,286,Circular 286,Circular 286,Circular,Combuses,-75.57445033,6.25509627,4715242.0536,2249873.8485
57,"(4715981.7672, 2252087.6971000023)",53276,90002026,90002,26.0,"CL 77 56-28, Medellin",Reglamentaria,Destino-Origen,286,Circular 286,Circular 286,Circular,Combuses,-75.56786516,6.27514375,4715981.7672,2252087.6971
