nombre_sitio,latitud,longitud,distance_to_transport
Pequeño Teatro,6.24749756,-75.56158447,0.0007454986400249111
Placita de Flórez,6.24627686,-75.55969238,0.0005778019502178226
Planetario Municipal de Medellín Jesús Emilio Ramírez González,6.269104,-75.565979,0.00020091202263733472
Plaza Botero,6.25231934,-75.56817627,0.0003085996108833314
Plaza Cisneros,6.24609375,-75.57232666,0.00044467603518939455
Plaza Gardel,6.21807861,-75.58679199,0.0008155876345264156
Plaza Mayor Medellín Convenciones y Exposiciones,6.24310303,-75.57641602,0.0009995011834423317
Plaza Minorista José María Villa,6.25732422,-75.57269287,0.0006950333063405325
Pueblito Paisa,6.23608398,-75.5802002,0.0029912873269248353
Puente de Guayaquil,6.23388672,-75.57568359,0.0012129628963902458
Santuario Santa Laura Montoya,6.24572754,-75.61700439,0.00020899242249561127
Teatro Lido,6.25231934,-75.5645752,0.0007298631087661599
Teatro Metropolitano de Medellín José Gutiérrez Gómez,6.24310303,-75.57757568,0.002079360908313566
Teatro Pablo Tobón Uribe,6.24749756,-75.5592041,0.00030502957986801576
Teatro Prado el Águila Descalza,6.25469971,-75.56060791,0.0011918804152323441
Unidad Deportiva Atanasio Girardot,6.25671387,-75.59002686,0.0016093374697397217
Unidad Deportiva de Belén Andrés Escobar Saldarriaga,6.23608398,-75.58752441,0.00018028183589449462
Vía Primavera,6.20812988,-75.56707764,0.0038890211187134764
