id_parada,latitud,longitud
90004026,6.27113722,-75.57386261
90004036,6.23138716,-75.58287695
90004022,6.279807,-75.57135099
90004021,6.27315407,-75.57311962
90004037,6.2270709,-75.5835143
90004030,6.25600937,-75.57687519
90004006,6.21481533,-75.57722504
90004024,6.27867745,-75.57010055
90005008,6.23325068,-75.61064792
90005009,6.23196954,-75.60984489
90005018,6.23521835,-75.59151263
90005061,6.23264745,-75.60228351
90005044,6.26431944,-75.58766323
90005054,6.25125852,-75.60441279
90005057,6.24309377,-75.60021221
90005028,6.24840567,-75.56377859
90005003,6.23442984,-75.6143294
90005026,6.24021151,-75.56894226
90005060,6.23495255,-75.60234622
90005066,6.2330146,-75.61164036
90005038,6.26372754,-75.57520657
90005037,6.26565838,-75.57487457
90005031,6.25544448,-75.56318794
90005042,6.25983108,-75.58477628
90005019,6.23687704,-75.59154342
90005025,6.2383844,-75.56970882
90005021,6.23934136,-75.58324623
90005020,6.23920733,-75.58646382
90005063,6.23179626,-75.60779047
90005023,6.2384128,-75.57346372
90005068,6.2341221,-75.61281895
90005015,6.23123848,-75.59587253
90005002,6.23449486,-75.615661
90005059,6.23957123,-75.60308578
90005001,6.23572064,-75.61858263
90005041,6.25683418,-75.58231743
90005016,6.23130135,-75.59404454
90005043,6.26260624,-75.58804303
90005070,6.23459685,-75.61556539
90005029,6.25214552,-75.56120093
90005067,6.23275412,-75.61233066
90005007,6.23287002,-75.61162608
90005058,6.24263978,-75.60285362
90005048,6.2673352,-75.59594763
90005034,6.26559593,-75.56281775
90005051,6.26185571,-75.60089728
90005024,6.23757321,-75.57145992
90005012,6.22989076,-75.60197109
90005006,6.23267951,-75.61230143
90005014,6.2311021,-75.59896659
90005033,6.25998821,-75.56396141
90005036,6.26475603,-75.56857722
90005040,6.25379543,-75.576113
90005050,6.26375639,-75.59914577
90005056,6.24512211,-75.6000678
90005052,6.25856591,-75.60042943
90005045,6.2722058,-75.59127598
90005039,6.25509627,-75.57445033
90005069,6.23450357,-75.61314554
90005013,6.23097745,-75.60098081
90005046,6.27304215,-75.59334557
90005062,6.23193449,-75.60457302
90005005,6.23216493,-75.61296154
90005010,6.23011248,-75.60814048
90005071,6.23580856,-75.61848121
90005055,6.24950993,-75.59943444
90005004,6.23382152,-75.61381658
90005027,6.24517196,-75.56605046
90005022,6.23943673,-75.58056027
90005032,6.25797894,-75.56482334
90005030,6.25451609,-75.56178556
90005065,6.23330923,-75.61071077
90005047,6.27019026,-75.5952855
90005049,6.26411413,-75.59868037
90005011,6.22933598,-75.60428831
90005064,6.23203203,-75.60973534
90005035,6.26499324,-75.56633799
90005017,6.23125767,-75.59138085
90005053,6.25471136,-75.60122084
90006049,6.25407082,-75.55892773
90006018,6.24505747,-75.59996865
90006005,6.23267951,-75.61230143
90006004,6.23216493,-75.61296154
90006007,6.23325068,-75.61064792
90006055,6.23778628,-75.57122676
90006070,6.2330146,-75.61164036
90006063,6.23234839,-75.59167579
90006074,6.23459685,-75.61556539
90006068,6.23203203,-75.60973534
90006028,6.26647197,-75.59588105
90006034,6.26452904,-75.58777714
90006006,6.23287002,-75.61162608
90006054,6.24057315,-75.57002521
90006067,6.23179626,-75.60779047
90006010,6.22933598,-75.60428831
90006071,6.23275412,-75.61233066
90006064,6.23220791,-75.59665397
90006051,6.24595247,-75.56354679
90006008,6.23196954,-75.60984489
90006012,6.23233983,-75.60206667
90006075,6.23580856,-75.61848121
90006044,6.26456108,-75.56899872
90006045,6.26379872,-75.56412781
90006039,6.25499074,-75.57914694
90006037,6.25809545,-75.58552936
90006046,6.26156535,-75.56164258
90006053,6.24038779,-75.56796233
90006056,6.23841748,-75.5727456
90006032,6.27117356,-75.5887593
90006048,6.25707284,-75.56126762
90006014,6.2379683,-75.6029484
90006047,6.25902427,-75.563223
90006016,6.24244826,-75.60266087
90006011,6.22989076,-75.60197109
90006023,6.25675176,-75.60004084
90006009,6.23011248,-75.60814048
90006058,6.23954791,-75.58453478
90006001,6.23572064,-75.61858263
90006036,6.26012274,-75.58532983
90006019,6.24767022,-75.59803518
90006002,6.23449486,-75.615661
90006031,6.27267703,-75.59169715
90006020,6.25062132,-75.60090965
90006072,6.23342519,-75.61293416
90006073,6.23450357,-75.61314554
90006021,6.25133186,-75.60355271
90006052,6.2438331,-75.56645823
90006066,6.23193449,-75.60457302
90006050,6.24939026,-75.56195702
90006033,6.26728244,-75.58708622
90006069,6.23330923,-75.61071077
90006059,6.23941289,-75.58731499
90006015,6.23968847,-75.60284271
90006029,6.26997285,-75.59510775
90006041,6.25482633,-75.57425064
90006003,6.23442984,-75.6143294
90006061,6.2367753,-75.58746215
90006040,6.25180509,-75.57419794
90006035,6.2624043,-75.58797897
90006026,6.26386937,-75.59868546
90006042,6.25874565,-75.57110614
90006022,6.25458193,-75.60120043
90006057,6.23966195,-75.58063318
90006030,6.27311585,-75.59303614
90006038,6.25659159,-75.58247023
90006017,6.24296744,-75.60010792
90006025,6.26179099,-75.60077814
90006024,6.25964654,-75.60047796
90006027,6.26436363,-75.59636522
90006062,6.23607873,-75.59130772
90006013,6.23532761,-75.60212471
90006043,6.2641962,-75.57481378
90006065,6.23203372,-75.60165151
90006060,6.23895944,-75.58752761
90007024,6.24339325,-75.56231785
90007017,6.25499074,-75.57914694
90007014,6.26012043,-75.58980712
90007045,6.2649318,-75.60051311
90007009,6.26687865,-75.60149906
90007053,6.27233272,-75.60319761
90007042,6.26048275,-75.58994233
90007050,6.27022335,-75.60155074
90007035,6.24577303,-75.5673201
90007051,6.27147528,-75.60275931
90007011,6.26492354,-75.60078471
90007037,6.24995494,-75.5831071
90007049,6.26921584,-75.6018667
90007020,6.24535396,-75.57318588
90007040,6.25687544,-75.58240359
90007036,6.24562432,-75.57292649
90007018,6.25197231,-75.57526435
90007007,6.26916121,-75.60190413
90007054,6.2721589,-75.60582366
90007052,6.27288372,-75.60247669
90007041,6.25882794,-75.58646395
90007027,6.24842228,-75.55780742
90007025,6.2440635,-75.56031425
90007001,6.27240252,-75.60862527
90007038,6.25240472,-75.58257041
90007015,6.25809545,-75.58552936
90007034,6.24978446,-75.56454714
90007047,6.26672562,-75.60154818
90007043,6.26271021,-75.59468669
90007016,6.25659159,-75.58247023
90007006,6.27012765,-75.60160766
90007004,6.27278246,-75.60237616
90007048,6.26791731,-75.60232583
90007030,6.24784305,-75.55496776
90007028,6.2471349,-75.55542027
90007023,6.24473111,-75.56490344
90007039,6.25524765,-75.5813184
90007055,6.27245057,-75.60858263
90007008,6.26797609,-75.60238259
90007026,6.24667382,-75.55882474
90007013,6.26253429,-75.59486265
90007032,6.25259983,-75.55960336
90007022,6.24517196,-75.56605046
90007021,6.24396756,-75.56917424
90007019,6.24855473,-75.57540573
90007002,6.2720989,-75.60579665
90007031,6.25041588,-75.55706717
90007046,6.26583522,-75.60182504
90007003,6.27226206,-75.60328228
90007012,6.26386937,-75.59868546
